accuracy,f1-score,model,precision,prevalence,recall,specificity,test_time,train_mask,train_ratio,train_time,use_meta
0.9817901234567902,0.985428500864411,naive_bayes_0,0.9791411042944785,0.6208333333333333,0.9917971662938105,0.9654049654049655,228.66616535186768,"(19440, 25920)",1.0,105.63373446464539,False
0.9589506172839506,0.9662693380674614,naive_bayes_0,0.9901247401247402,0.6231481481481481,0.9435364041604755,0.9844389844389845,235.36695098876953,"(6480, 12960)",1.0,107.7553358078003,True
0.9378086419753087,0.9485247158002299,naive_bayes_4,0.9794249538380374,0.6231481481481481,0.9195146111936602,0.9680589680589681,177.21954441070557,"(6480, 12960)",0.05,6.450018644332886,False
0.38209876543209875,,naive_bayes_3,,0.6179012345679012,0.0,1.0,180.22876262664795,"(12960, 19440)",0.05,6.43847918510437,True
0.8722222222222222,0.8877744646245596,naive_bayes_1,0.9805389221556886,0.6231481481481481,0.8110450718177316,0.9733824733824734,190.06156635284424,"(6480, 12960)",0.05,6.4727959632873535,True
0.9669753086419753,0.9726831758999234,naive_bayes_4,0.9822119102861562,0.6103395061728395,0.9633375474083439,0.9726732673267326,220.98133659362793,"(0, 6480)",0.5,54.72965097427368,False
0.37885802469135804,0.0014884644008930786,naive_bayes_3,0.1111111111111111,0.6179012345679012,0.0007492507492507493,0.9903069466882067,225.87468361854553,"(12960, 19440)",1.0,106.73222708702087,True
0.9041666666666667,0.9166778478465047,naive_bayes_0,0.9765580331618068,0.6103395061728395,0.863716814159292,0.9675247524752475,186.2232072353363,"(0, 6480)",0.05,6.541607856750488,True
0.9405955871007561,0.9497323410366888,naive_bayes_0,0.9967114277884351,0.6187316772103071,0.9069825436408978,0.9951436665317686,226.3703851699829,"(25920, 32401)",0.5,54.75813674926758,True
0.9580246913580247,0.965412004069176,naive_bayes_2,0.9921589127025614,0.6231481481481481,0.9400693412580485,0.9877149877149877,238.92999053001404,"(6480, 12960)",1.0,107.67264795303345,True
0.6187316772103071,0.7644647793346678,naive_bayes_3,0.6187316772103071,0.6187316772103071,1.0,0.0,205.42304110527039,"(25920, 32401)",1.0,105.67751002311707,False
0.3800339453787996,0.005445544554455447,naive_bayes_3,0.36666666666666664,0.6187316772103071,0.002743142144638404,0.9923108053419668,222.59433269500732,"(25920, 32401)",1.0,106.69740390777588,True
0.975925925925926,0.9805776892430279,naive_bayes_4,0.977656405163853,0.6179012345679012,0.9835164835164835,0.9636510500807755,233.8896586894989,"(12960, 19440)",1.0,106.58725810050964,False
0.9674382716049382,0.974283973187081,naive_bayes_1,0.9592032637389009,0.6231481481481481,0.9898464586428926,0.9303849303849304,210.28074741363525,"(6480, 12960)",0.5,55.469523191452026,False
0.9655864197530865,0.9724589354081757,naive_bayes_1,0.9618861470803811,0.6179012345679012,0.9832667332667333,0.9369951534733441,217.68028330802917,"(12960, 19440)",0.5,54.74933886528015,False
0.9342592592592592,0.9461305007587254,naive_bayes_1,0.9666666666666667,0.6231481481481481,0.9264487369985142,0.9471744471744472,170.48219537734985,"(6480, 12960)",0.05,6.557541131973267,False
0.957716049382716,0.9662810730986955,naive_bayes_0,0.9412610884679933,0.6103395061728395,0.9926675094816688,0.902970297029703,169.3793661594391,"(0, 6480)",0.05,6.597371339797974,False
0.9682098765432099,0.9741075917546506,naive_bayes_4,0.9852529875413171,0.6208333333333333,0.9632115336813324,0.9763939763939764,225.11587643623352,"(19440, 25920)",0.5,54.602293968200684,False
0.3896604938271605,,naive_bayes_3,,0.6103395061728395,0.0,1.0,212.6202449798584,"(0, 6480)",0.5,54.50387978553772,True
0.8566358024691358,0.8703781219478165,naive_bayes_0,0.9968040907638223,0.6231481481481481,0.7724120851906885,0.9959049959049959,188.47681045532227,"(6480, 12960)",0.05,6.534181118011475,True
0.9358024691358025,0.9456919060052219,naive_bayes_2,0.995875721748694,0.6208333333333333,0.9003231419338802,0.9938949938949939,237.1087167263031,"(19440, 25920)",0.5,45.33592510223389,True
0.8507716049382716,0.8636684054701819,naive_bayes_0,0.9977198697068403,0.6208333333333333,0.761372110365399,0.9971509971509972,198.37623286247253,"(19440, 25920)",0.05,4.8356592655181885,True
0.9790123456790123,0.9832140212293261,naive_bayes_0,0.9719375305026843,0.6179012345679012,0.9947552447552448,0.9535541195476576,226.87088537216187,"(12960, 19440)",1.0,93.34161829948425,False
0.9399691358024691,0.9494082455455847,naive_bayes_0,0.9956355701036552,0.6208333333333333,0.9072831220482227,0.9934879934879934,235.59084153175354,"(19440, 25920)",0.5,45.395973682403564,True
0.37839506172839504,0.025169409486931266,naive_bayes_3,0.47706422018348627,0.6208333333333333,0.012925677355207556,0.9768009768009768,200.69545722007751,"(19440, 25920)",0.5,46.237138509750366,False
0.38126832278969297,,naive_bayes_3,,0.6187316772103071,0.0,1.0,213.71038937568665,"(25920, 32401)",0.5,46.53955435752869,True
0.953395061728395,0.9605228758169936,naive_bayes_2,0.9943166441136672,0.6103395061728395,0.9289506953223767,0.9916831683168317,242.1190366744995,"(0, 6480)",1.0,94.6046314239502,True
0.9433641975308642,0.953632343651295,naive_bayes_1,0.97343306680423,0.6231481481481481,0.9346210995542348,0.9578214578214578,229.59965872764587,"(6480, 12960)",0.5,46.677773237228394,True
0.9774691358024692,0.9820064086763619,naive_bayes_4,0.9774288518155054,0.6231481481481481,0.986627043090639,0.9623259623259623,226.5241494178772,"(6480, 12960)",1.0,95.09797382354736,False
0.9641975308641976,0.9706626201315125,naive_bayes_4,0.983094262295082,0.6179012345679012,0.9585414585414586,0.9733441033925686,226.95583295822144,"(12960, 19440)",0.5,45.897907733917236,False
